HRS1,marital,childs,age,educ,sex,born,income,region,partyid,polviews,attend,pray
60,3,0,53,16,1,1,12,1,5,6,0,6
40,1,0,26,16,2,1,12,1,5,5,7,2
60,1,1,56,17,2,1,12,1,6,5,1,3
55,1,3,30,15,2,1,12,2,3,3,3,5
37,1,2,40,11,2,1,11,2,1,3,0,5
55,5,0,46,13,1,1,12,1,3,4,0,6
50,1,2,51,14,1,2,12,1,4,3,5,2
38,3,2,39,8,2,2,7,1,1,4,8,2
38,3,2,30,14,2,2,11,1,3,4,7,1
40,5,2,38,15,2,2,12,2,0,2,4,2
40,4,2,35,13,1,1,11,2,3,4,2,4
40,1,6,57,16,1,1,12,2,5,6,8,1
40,1,2,50,15,1,1,12,2,2,3,2,3
40,3,1,54,16,1,1,12,2,2,1,0,6
40,3,3,61,16,2,1,12,2,2,5,6,2
40,1,2,53,12,1,2,12,2,1,4,7,3
40,5,2,38,11,2,2,12,2,3,3,8,1
39,3,0,31,14,1,1,12,2,4,4,0,6
50,1,1,35,16,1,1,12,2,1,2,4,5
60,4,1,50,16,2,1,12,2,6,2,7,1
40,5,2,43,12,2,1,12,2,0,2,2,1
45,5,0,30,15,1,1,12,2,5,6,0,6
40,1,4,59,11,1,2,12,2,1,4,2,5
40,1,0,32,15,2,2,12,2,1,4,0,6
40,1,2,32,14,1,2,12,2,1,3,5,4
40,1,3,52,18,2,2,12,2,3,3,0,6
40,1,1,42,16,1,1,12,2,0,1,2,6
60,1,0,29,14,1,2,12,2,0,2,1,6
40,1,1,51,18,1,2,12,2,5,5,1,6
40,5,0,44,18,2,2,12,2,1,3,1,6
30,5,0,56,18,2,2,12,2,6,6,5,1
36,5,0,32,16,2,1,11,2,2,2,1,5
40,5,0,47,16,2,2,12,2,2,4,4,1
55,1,0,34,20,1,2,12,2,3,5,3,2
35,1,2,69,16,1,1,12,2,0,2,0,6
50,1,0,65,16,2,1,12,2,5,7,3,6
70,3,3,57,18,1,1,12,2,3,6,3,2
50,5,0,24,16,1,1,12,2,5,5,2,6
40,5,0,32,12,1,1,12,2,6,4,0,6
45,1,2,51,16,2,1,12,2,3,5,2,5
60,1,1,39,20,2,1,12,2,0,2,2,6
60,1,2,54,16,1,1,12,2,1,4,2,5
65,3,1,58,16,2,1,12,2,0,3,3,2
45,1,3,51,11,1,1,9,2,2,1,0,4
37,1,2,41,16,1,2,12,2,1,4,4,1
65,5,2,25,12,1,1,12,2,0,4,3,5
45,5,1,45,15,1,1,12,2,5,4,7,2
40,5,2,37,12,2,2,12,2,2,6,8,1
56,5,3,43,13,2,1,12,2,0,1,7,1
55,5,0,32,18,1,2,12,2,2,2,0,6
